gene_name,interaction_types,drug_claim_primary_name,interaction_group_score,TARGET_NAME,TARGET_CLASS,ACT_VALUE,drug_approved,drug_avr_mass,drug_predicted_logp,drug_rule_of_five,drug_nr_targets,drug_nr_enzymes,drug_nr_carriers,drug_nr_transporters,POLAR_SURFACE_AREA,ROTATABLE_BOND_COUNT,HYDROGEN_BOND_DONORS,HYDROGEN_BOND_ACCEPTORS,RING_COUNT,ATOM_COUNT,FORMAL_CHARGE,CHIRAL_CENTER_COUNT
DRD3,antagonist,yohimbine,0.06,D(3) dopamine receptor,GPCR,5.603975103,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,0,5.0
HTR1B,antagonist,yohimbine,0.16,5-hydroxytryptamine receptor 1B,GPCR,7.6,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,0,5.0
HTR1E,antagonist,yohimbine,0.09,5-hydroxytryptamine receptor 1E,GPCR,5.9,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,0,5.0
DRD2,antagonist,yohimbine,0.03,D(2) dopamine receptor,GPCR,6.163043263,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,0,5.0
SLC6A4,inhibitor,levomilnacipran,0.64,Sodium-dependent serotonin transporter,Transporter,7.95078182220459,True,246.348,1.4217066229999988,True,2,5,0,1,46.33,5,1,2,2,40,0,2.0
SLC6A3,inhibitor,levomilnacipran,0.23,Sodium-dependent dopamine transporter,Transporter,5.49,True,246.348,1.4217066229999988,True,2,5,0,1,46.33,5,1,2,2,40,0,2.0
SLC6A2,inhibitor,levomilnacipran,0.73,Sodium-dependent noradrenaline transporter,Transporter,7.0352692604064915,True,246.348,1.4217066229999988,True,2,5,0,1,46.33,5,1,2,2,40,0,2.0
DRD4,agonist,dopamine,0.07,D(4) dopamine receptor,GPCR,9.0,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0,0.0
DRD5,agonist,dopamine,0.14,D(1B) dopamine receptor,GPCR,9.0,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0,0.0
DRD1,agonist,dopamine,0.09,D(1A) dopamine receptor,GPCR,8.15,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0,0.0
SLC6A3,inducer,dopamine,0.04,Sodium-dependent dopamine transporter,Transporter,5.19,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0,0.0
DRD3,agonist,dopamine,0.05,D(3) dopamine receptor,GPCR,9.0,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0,0.0
DBH,ligand,dopamine,1.33,Dopamine beta-hydroxylase,Enzyme,3.0,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0,0.0
HTR1A,binder,dopamine,0.04,5-hydroxytryptamine receptor 1A,GPCR,5.08365154266357,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0,0.0
SLC6A2,inhibitor,dopamine,0.05,Sodium-dependent noradrenaline transporter,Transporter,8.18,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0,0.0
HTR6,agonist,ergotamine,0.07,5-hydroxytryptamine receptor 6,GPCR,8.6,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
HTR2B,agonist,ergotamine,0.12,5-hydroxytryptamine receptor 2B,GPCR,8.9,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
HTR1B,agonist,ergotamine,0.3,5-hydroxytryptamine receptor 1B,GPCR,8.68,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
ADRA2A,partial agonist,ergotamine,0.1,Alpha-2A adrenergic receptor,GPCR,9.099086932,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
HTR2C,agonist,ergotamine,0.08,5-hydroxytryptamine receptor 2C,GPCR,8.7,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
HTR1E,agonist,ergotamine,0.1,5-hydroxytryptamine receptor 1E,GPCR,6.3,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
HTR5A,antagonist,ergotamine,0.2,5-hydroxytryptamine receptor 5A,GPCR,7.85,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
DRD1,agonist,ergotamine,0.04,D(1A) dopamine receptor,GPCR,6.063486257999999,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
HTR1F,agonist,ergotamine,0.33,5-hydroxytryptamine receptor 1F,GPCR,6.8,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
HTR2A,agonist,ergotamine,0.09,5-hydroxytryptamine receptor 2A,GPCR,9.0,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
ADRA1D,partial agonist,ergotamine,0.09,Alpha-1D adrenergic receptor,GPCR,8.486782400000001,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
DRD2,agonist,ergotamine,0.05,D(2) dopamine receptor,GPCR,8.844663963,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
ADRA1A,partial agonist,ergotamine,0.08,Alpha-1A adrenergic receptor,GPCR,,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
HTR1A,agonist,ergotamine,0.04,5-hydroxytryptamine receptor 1A,GPCR,9.353596274,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,0,6.0
TLR7,agonist,imiquimod,15.29,Toll-like receptor 7,Membrane receptor,4.97,True,240.3036,2.6506694719999997,True,2,1,0,0,56.73,2,1,4,3,34,0,0.0
PTGS1,inhibitor,nepafenac,1.29,Prostaglandin G/H synthase 1,Enzyme,6.6,True,254.2839,2.0844785749999994,True,2,0,0,0,86.18,4,2,3,2,33,0,0.0
CRBN,inhibitor,pomalidomide,14.2,Protein cereblon,Cytosolic other,6.57708215713501,True,273.2441,-0.16321859799999985,True,3,2,0,1,109.57,1,2,5,3,31,0,1.0
GNRHR,antagonist,ganirelix,7.47,Gonadotropin-releasing hormone receptor,GPCR,,True,1570.35,1.6180238152835371,False,1,0,0,0,451.49,44,16,16,6,225,0,10.0
OPRD1,antagonist,methylnaltrexone,0.23,Delta-type opioid receptor,GPCR,6.05,True,356.441,-2.492788006471746,True,2,0,0,0,66.76,2,2,4,6,52,1,5.0
OPRM1,antagonist,methylnaltrexone,0.52,Mu-type opioid receptor,GPCR,7.55,True,356.441,-2.492788006471746,True,2,0,0,0,66.76,2,2,4,6,52,1,5.0
OPRK1,antagonist,methylnaltrexone,0.51,Kappa-type opioid receptor,GPCR,6.65,True,356.441,-2.492788006471746,True,2,0,0,0,66.76,2,2,4,6,52,1,5.0
CDK8,inhibitor,ponatinib,0.09,Cyclin-dependent kinase 8,Kinase,8.17,True,532.5595,4.965714124000001,False,15,4,0,2,65.77,4,1,6,5,66,0,0.0
KDR,inhibitor,ponatinib,0.04,Vascular endothelial growth factor receptor 2,Kinase,8.82390880584717,True,532.5595,4.965714124000001,False,15,4,0,2,65.77,4,1,6,5,66,0,0.0
LYN,inhibitor,ponatinib,0.08,Tyrosine-protein kinase Lyn,Kinase,9.61978912353516,True,532.5595,4.965714124000001,False,15,4,0,2,65.77,4,1,6,5,66,0,0.0
PDGFRA,inhibitor,ponatinib,0.22,Platelet-derived growth factor receptor alpha,Kinase,8.95860767364502,True,532.5595,4.965714124000001,False,15,4,0,2,65.77,4,1,6,5,66,0,0.0
CDK19,inhibitor,ponatinib,0.17,Cyclin-dependent kinase 19,Kinase,7.92,True,532.5595,4.965714124000001,False,15,4,0,2,65.77,4,1,6,5,66,0,0.0
DRD2,antagonist,iloperidone,0.12,D(2) dopamine receptor,GPCR,8.9687,True,426.4806,3.221352625333332,True,11,5,0,0,64.8,8,0,6,4,58,0,0.0
HTR1A,antagonist,iloperidone,0.09,5-hydroxytryptamine receptor 1A,GPCR,7.1809,True,426.4806,3.221352625333332,True,11,5,0,0,64.8,8,0,6,4,58,0,0.0
HRH1,antagonist,iloperidone,0.06,Histamine H1 receptor,GPCR,7.91,True,426.4806,3.221352625333332,True,11,5,0,0,64.8,8,0,6,4,58,0,0.0
HTR6,antagonist,iloperidone,0.28,5-hydroxytryptamine receptor 6,GPCR,7.37,True,426.4806,3.221352625333332,True,11,5,0,0,64.8,8,0,6,4,58,0,0.0
ADRA2C,antagonist,iloperidone,0.07,Alpha-2C adrenergic receptor,GPCR,7.7902,True,426.4806,3.221352625333332,True,11,5,0,0,64.8,8,0,6,4,58,0,0.0
HTR2A,antagonist,iloperidone,0.11,5-hydroxytryptamine receptor 2A,GPCR,9.8594,True,426.4806,3.221352625333332,True,11,5,0,0,64.8,8,0,6,4,58,0,0.0
DRD3,antagonist,iloperidone,0.11,D(3) dopamine receptor,GPCR,8.15,True,426.4806,3.221352625333332,True,11,5,0,0,64.8,8,0,6,4,58,0,0.0
DRD4,antagonist,iloperidone,0.1,D(4) dopamine receptor,GPCR,7.6,True,426.4806,3.221352625333332,True,11,5,0,0,64.8,8,0,6,4,58,0,0.0
ADRA1A,antagonist,iloperidone,0.06,Alpha-1A adrenergic receptor,GPCR,7.44,True,426.4806,3.221352625333332,True,11,5,0,0,64.8,8,0,6,4,58,0,0.0
RAF1,inhibitor,vemurafenib,0.07,RAF proto-oncogene serine/threonine-protein kinase,Kinase,7.32,True,489.922,4.622483135000001,True,1,6,2,3,91.92,7,2,4,4,51,0,0.0
SLC6A3,inhibitor,cocaine,0.29,Dopamine transporter,Unclassified,7.19,True,303.3529,2.2821080089999994,True,8,5,1,2,55.84,3,0,5,3,43,0,4.0
SIGMAR1,agonist,cocaine,0.5,Sigma non-opioid intracellular receptor 1,Membrane receptor,5.05,True,303.3529,2.2821080089999994,True,8,5,1,2,55.84,3,0,5,3,43,0,4.0
MAP2K2,allosteric modulator,cobimetinib,0.57,Dual specificity mitogen-activated protein kinase kinase 2,Kinase,6.7,True,531.318,5.035852919333332,False,1,2,0,4,64.6,4,3,4,4,51,0,1.0
MAP2K1,inhibitor,cobimetinib,0.98,Dual specificity mitogen-activated protein kinase kinase 1,Kinase,9.04575729370117,True,531.318,5.035852919333332,False,1,2,0,4,64.6,4,3,4,4,51,0,1.0
HDAC2,inhibitor,belinostat,0.46,Histone deacetylase 2,Enzyme,9.07,True,318.35,1.813627203,True,1,5,0,1,95.5,5,3,4,2,36,0,0.0
HDAC7,inhibitor,belinostat,0.77,Histone deacetylase 7,Enzyme,7.29,True,318.35,1.813627203,True,1,5,0,1,95.5,5,3,4,2,36,0,0.0
HDAC8,inhibitor,belinostat,0.51,Histone deacetylase 8,Enzyme,7.66,True,318.35,1.813627203,True,1,5,0,1,95.5,5,3,4,2,36,0,0.0
HDAC9,inhibitor,belinostat,0.72,Histone deacetylase 9,Enzyme,7.62,True,318.35,1.813627203,True,1,5,0,1,95.5,5,3,4,2,36,0,0.0
HDAC11,inhibitor,belinostat,0.52,Histone deacetylase 11,Enzyme,7.57,True,318.35,1.813627203,True,1,5,0,1,95.5,5,3,4,2,36,0,0.0
HTR2A,antagonist,epinastine,0.13,5-hydroxytryptamine receptor 2A,GPCR,,True,249.3104,3.073111085666667,True,6,3,0,1,39.12,0,2,1,4,34,0,1.0
HRH2,antagonist,epinastine,0.9,Histamine H2 receptor,GPCR,,True,249.3104,3.073111085666667,True,6,3,0,1,39.12,0,2,1,4,34,0,1.0
ADORA3,inhibitor,enprofylline,0.45,Adenosine receptor A3,GPCR,4.03,True,194.1906,-0.11366737333333345,True,6,0,0,0,83.54,2,2,4,2,24,0,0.0
PDE4B,inhibitor,enprofylline,1.47,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Enzyme,,True,194.1906,-0.11366737333333345,True,6,0,0,0,83.54,2,2,4,2,24,0,0.0
ADORA2A,inhibitor,enprofylline,0.32,Adenosine A2a receptor,Unclassified,4.04,True,194.1906,-0.11366737333333345,True,6,0,0,0,83.54,2,2,4,2,24,0,0.0
ADORA1,inhibitor,enprofylline,0.33,Adenosine receptor A1,GPCR,4.38,True,194.1906,-0.11366737333333345,True,6,0,0,0,83.54,2,2,4,2,24,0,0.0
ADORA2B,antagonist,enprofylline,0.73,Adenosine receptor A2b,GPCR,5.33,True,194.1906,-0.11366737333333345,True,6,0,0,0,83.54,2,2,4,2,24,0,0.0
HTR1D,agonist,zolmitriptan,1.6,5-hydroxytryptamine receptor 1D,GPCR,8.9,True,287.3568,2.0428752876666683,True,8,2,0,1,57.36,5,2,3,3,42,0,1.0
HTR1F,agonist,zolmitriptan,2.52,5-hydroxytryptamine receptor 1F,GPCR,7.45,True,287.3568,2.0428752876666683,True,8,2,0,1,57.36,5,2,3,3,42,0,1.0
HTR1E,agonist,zolmitriptan,0.72,5-hydroxytryptamine receptor 1E,GPCR,7.7,True,287.3568,2.0428752876666683,True,8,2,0,1,57.36,5,2,3,3,42,0,1.0
HTR1B,agonist,zolmitriptan,1.39,5-hydroxytryptamine receptor 1B,GPCR,7.7,True,287.3568,2.0428752876666683,True,8,2,0,1,57.36,5,2,3,3,42,0,1.0
S1PR5,modulator,fingolimod,5.68,Sphingosine 1-phosphate receptor 5,GPCR,9.52,True,307.4708,4.060977925999999,True,5,3,0,4,66.48,12,3,3,1,55,0,0.0
S1PR4,modulator,fingolimod,1.62,Sphingosine 1-phosphate receptor 4,GPCR,9.52,True,307.4708,4.060977925999999,True,5,3,0,4,66.48,12,3,3,1,55,0,0.0
S1PR3,modulator,fingolimod,2.84,Sphingosine 1-phosphate receptor 3,GPCR,8.52,True,307.4708,4.060977925999999,True,5,3,0,4,66.48,12,3,3,1,55,0,0.0
HTR2A,antagonist,thioridazine,0.14,5-hydroxytryptamine receptor 2A,GPCR,8.0,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,0,1.0
KCNH2,inhibitor,thioridazine,0.03,Potassium voltage-gated channel subfamily H member 2,Ion channel,7.0,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,0,1.0
DRD4,antagonist,thioridazine,0.04,D(4) dopamine receptor,GPCR,7.97881078720093,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,0,1.0
DRD5,antagonist,thioridazine,0.07,D(1B) dopamine receptor,GPCR,5.6,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,0,1.0
HRH1,antagonist,thioridazine,0.01,Histamine H1 receptor,GPCR,7.7,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,0,1.0
HTR6,antagonist,thioridazine,0.05,5-hydroxytryptamine receptor 6,GPCR,7.2,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,0,1.0
HTR1A,antagonist,thioridazine,0.02,5-hydroxytryptamine receptor 1A,GPCR,7.1,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,0,1.0
DRD3,antagonist,thioridazine,0.03,D(3) dopamine receptor,GPCR,7.3,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,0,1.0
HTR2C,antagonist,thioridazine,0.04,5-hydroxytryptamine receptor 2C,GPCR,7.3,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,0,1.0
ADRA1B,antagonist,thioridazine,0.05,Alpha-1B adrenergic receptor,GPCR,8.61978912353516,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,0,1.0
HTR7,antagonist,thioridazine,0.04,5-hydroxytryptamine receptor 7,GPCR,7.15,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,0,1.0
AVPR2,agonist,vasopressin,1.36,Vasopressin V2 receptor,GPCR,8.48,True,2140.46,-7.249321714160335,False,4,0,0,1,463.93,19,14,16,4,140,0,8.0
OXTR,agonist,vasopressin,0.18,Oxytocin receptor,GPCR,8.78,True,2140.46,-7.249321714160335,False,4,0,0,1,463.93,19,14,16,4,140,0,8.0
SLC12A3,inhibitor,indapamide,3.94,Solute carrier family 12 member 3,Transporter,7.54,True,365.835,2.639544322333333,True,1,2,3,0,92.5,3,2,4,3,40,0,1.0
PDE4A,antagonist,apremilast,1.99,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",Enzyme,7.85,True,460.5,1.3102076129999998,True,1,3,0,1,119.08,8,1,7,3,56,0,1.0
PDE4D,inhibitor,apremilast,0.86,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Enzyme,7.1307682991027805,True,460.5,1.3102076129999998,True,1,3,0,1,119.08,8,1,7,3,56,0,1.0
PDE4C,inhibitor,apremilast,1.0,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",Enzyme,6.93,True,460.5,1.3102076129999998,True,1,3,0,1,119.08,8,1,7,3,56,0,1.0
IMPDH2,inhibitor,ribavirin,0.86,Inosine-5'-monophosphate dehydrogenase 2,Enzyme,6.0,True,244.2047,-2.7682973950000003,True,5,2,0,2,143.72,3,4,8,2,29,0,4.0
HDAC1,inhibitor,romidepsin,0.48,Histone deacetylase 1,Enzyme,7.0,True,540.69,1.0779514013333338,False,5,5,0,2,142.7,2,4,8,2,72,0,4.0
HDAC4,inhibitor,romidepsin,0.41,Histone deacetylase 4,Enzyme,6.2924,True,540.69,1.0779514013333338,False,5,5,0,2,142.7,2,4,8,2,72,0,4.0
HDAC9,inhibitor,romidepsin,0.25,Histone deacetylase 9,Enzyme,5.96,True,540.69,1.0779514013333338,False,5,5,0,2,142.7,2,4,8,2,72,0,4.0
HDAC8,inhibitor,romidepsin,0.3,Histone deacetylase 8,Enzyme,9.82,True,540.69,1.0779514013333338,False,5,5,0,2,142.7,2,4,8,2,72,0,4.0
HDAC7,inhibitor,romidepsin,0.31,Histone deacetylase 7,Enzyme,5.9,True,540.69,1.0779514013333338,False,5,5,0,2,142.7,2,4,8,2,72,0,4.0
DPYD,inhibitor,gimeracil,7.57,Dihydropyrimidine dehydrogenase [NADP(+)],Enzyme,6.6382722854614284,True,145.54,0.12644476800000015,True,1,0,0,0,53.09,0,2,2,1,13,0,0.0
BDKRB1,antagonist,icatibant,1.72,B1 bradykinin receptor,GPCR,7.0,True,1304.54,-7.6640031383219505,False,2,0,0,0,523.72,30,15,17,7,181,0,12.0
ATP1A1,inhibitor,digoxin,0.67,Sodium/potassium-transporting ATPase subunit alpha-1,Transporter,6.3,True,780.9385,2.366680672000001,False,1,1,0,7,203.06,7,6,14,8,119,0,21.0
ATP1A2,inhibitor,digoxin,0.28,Sodium/potassium-transporting ATPase subunit alpha-2,Ion channel,5.783306401,True,780.9385,2.366680672000001,False,1,1,0,7,203.06,7,6,14,8,119,0,21.0
OPRK1,agonist,tramadol,0.11,Kappa-type opioid receptor,GPCR,7.85,True,263.3752,2.4498614993333323,True,15,4,0,0,32.7,4,1,3,2,44,0,2.0
OPRD1,agonist,tramadol,0.15,Delta-type opioid receptor,GPCR,8.03,True,263.3752,2.4498614993333323,True,15,4,0,0,32.7,4,1,3,2,44,0,2.0
ADRA2A,agonist,clonidine,0.49,Alpha-2A adrenergic receptor,GPCR,8.7,True,230.094,2.485088703666668,True,6,5,1,3,36.42,1,2,1,2,23,0,0.0
SLC22A1,inhibitor,clonidine,0.29,Solute carrier family 22 member 1,Transporter,4.65,True,230.094,2.485088703666668,True,6,5,1,3,36.42,1,2,1,2,23,0,0.0
ADRA2B,agonist,clonidine,0.28,Alpha-2B adrenergic receptor,GPCR,7.5,True,230.094,2.485088703666668,True,6,5,1,3,36.42,1,2,1,2,23,0,0.0
ADRA2C,agonist,clonidine,0.29,Alpha-2C adrenergic receptor,GPCR,6.7,True,230.094,2.485088703666668,True,6,5,1,3,36.42,1,2,1,2,23,0,0.0
ADRA1A,agonist,clonidine,0.05,Alpha-1A adrenergic receptor,GPCR,6.499999953,True,230.094,2.485088703666668,True,6,5,1,3,36.42,1,2,1,2,23,0,0.0
ADRA1B,agonist,clonidine,0.08,Alpha-1B adrenergic receptor,GPCR,6.5,True,230.094,2.485088703666668,True,6,5,1,3,36.42,1,2,1,2,23,0,0.0
DRD5,"antagonist,ligand,partial agonist",aripiprazole,0.1,D(1B) dopamine receptor,GPCR,5.681212902069089,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HTR1A,partial agonist,aripiprazole,0.09,5-hydroxytryptamine receptor 1A,GPCR,8.15,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HTR1B,"antagonist,ligand",aripiprazole,0.06,5-hydroxytryptamine receptor 1B,GPCR,6.1,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
ADRA1A,antagonist,aripiprazole,0.02,Alpha-1A adrenergic receptor,GPCR,7.244,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
SLC6A3,modulator,aripiprazole,0.03,Sodium-dependent dopamine transporter,Transporter,5.49248170852661,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HRH1,antagonist,aripiprazole,0.03,Histamine H1 receptor,GPCR,7.2147,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
DRD2,agonist,aripiprazole,0.22,D(2) dopamine receptor,GPCR,8.71,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HTR7,"antagonist,partial agonist",aripiprazole,0.06,5-hydroxytryptamine receptor 7,GPCR,7.69,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
CHRM1,ligand,aripiprazole,0.02,Muscarinic acetylcholine receptor M1,GPCR,5.1688985824585005,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HTR6,antagonist,aripiprazole,0.07,5-hydroxytryptamine receptor 6,GPCR,6.51,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
DRD1,"antagonist,ligand,partial agonist",aripiprazole,0.02,D(1A) dopamine receptor,GPCR,6.060016632080081,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HTR2A,antagonist,aripiprazole,0.06,5-hydroxytryptamine receptor 2A,GPCR,7.9,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HTR1D,"antagonist,ligand",aripiprazole,0.07,5-hydroxytryptamine receptor 1D,GPCR,7.2,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
DRD3,"antagonist,partial agonist",aripiprazole,0.04,D(3) dopamine receptor,GPCR,8.53,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
CHRM4,ligand,aripiprazole,0.04,Muscarinic acetylcholine receptor M4,GPCR,5.8180136680603,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
CHRM5,ligand,aripiprazole,0.04,Muscarinic acetylcholine receptor M5,GPCR,5.63292407989502,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
ADRB1,ligand,aripiprazole,0.02,Beta-1 adrenergic receptor,GPCR,6.8507809638977095,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HTR2C,agonist,aripiprazole,0.04,5-hydroxytryptamine receptor 2C,GPCR,7.36,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HTR3A,antagonist,aripiprazole,0.04,5-hydroxytryptamine receptor 3A,Ion channel,6.2020401954650906,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
DRD4,"antagonist,partial agonist",aripiprazole,0.05,D(4) dopamine receptor,GPCR,6.65,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
ADRA2C,antagonist,aripiprazole,0.03,Alpha-2C adrenergic receptor,GPCR,7.42136096954346,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
ADRA2B,"antagonist,ligand",aripiprazole,0.04,Alpha-2B adrenergic receptor,GPCR,6.991399765014651,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
SLC6A4,modulator,aripiprazole,0.03,Sodium-dependent serotonin transporter,Transporter,6.83,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HTR1E,"antagonist,ligand",aripiprazole,0.1,5-hydroxytryptamine receptor 1E,GPCR,5.09690999984741,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HTR5A,ligand,aripiprazole,0.07,5-hydroxytryptamine receptor 5A,GPCR,5.9064030647277805,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
ADRA1B,antagonist,aripiprazole,0.03,Alpha-1B adrenergic receptor,GPCR,7.46347093582153,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
CHRM3,ligand,aripiprazole,0.03,Muscarinic acetylcholine receptor M3,GPCR,5.33003282546997,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
HTR2B,inverse agonist,aripiprazole,0.03,5-hydroxytryptamine receptor 2B,GPCR,9.44369792938232,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
CHRM2,ligand,aripiprazole,0.03,Muscarinic acetylcholine receptor M2,GPCR,5.45487833023071,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
ADRA2A,antagonist,aripiprazole,0.03,Alpha-2A adrenergic receptor,GPCR,7.1307682991027805,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
ADRB2,ligand,aripiprazole,0.01,Beta-2 adrenergic receptor,GPCR,6.7878123960000005,True,448.385,4.901243659333332,True,38,4,1,0,44.81,7,1,4,4,57,0,0.0
SI,inhibitor,acarbose,10.82,"Sucrase-isomaltase, intestinal",Enzyme,6.609065055847171,True,645.6080000000002,-8.250380201666667,False,4,0,0,0,321.17,9,14,19,4,87,0,19.0
EDNRA,antagonist,bosentan,8.22,Endothelin-1 receptor,GPCR,8.12,True,551.614,4.941747168000001,False,2,2,0,1,145.65,10,2,10,4,68,0,0.0
CHRM2,antagonist,propantheline,0.08,Muscarinic acetylcholine receptor M2,GPCR,9.5,True,368.4892,0.3637936438615875,True,1,0,0,0,35.53,6,0,3,3,57,1,0.0
CHRM4,antagonist,propantheline,0.12,Muscarinic acetylcholine receptor M4,GPCR,10.2,True,368.4892,0.3637936438615875,True,1,0,0,0,35.53,6,0,3,3,57,1,0.0
CHRM3,antagonist,propantheline,0.07,Muscarinic acetylcholine receptor M3,GPCR,10.0,True,368.4892,0.3637936438615875,True,1,0,0,0,35.53,6,0,3,3,57,1,0.0
PTGS2,inhibitor,nimesulide,0.15,Prostaglandin G/H synthase 2,Enzyme,6.4,True,308.31,1.7866563706666665,True,3,1,0,0,98.54,5,1,5,2,33,0,0.0
PTGS1,inhibitor,nimesulide,0.03,Prostaglandin G/H synthase 1,Enzyme,5.21,True,308.31,1.7866563706666665,True,3,1,0,0,98.54,5,1,5,2,33,0,0.0
ACHE,inhibitor,neostigmine,10.02,Acetylcholinesterase,Enzyme,7.59,True,223.2915,-2.2459823888050785,True,1,1,0,0,29.54,2,0,2,1,35,1,0.0
