gene_name,interaction_types,drug_claim_primary_name,interaction_group_score,TARGET_NAME,TARGET_CLASS,ACT_VALUE,drug_approved,drug_avr_mass,drug_predicted_logp,drug_rule_of_five,drug_nr_targets,drug_nr_enzymes,drug_nr_carriers,drug_nr_transporters,POLAR_SURFACE_AREA,ROTATABLE_BOND_COUNT,HYDROGEN_BOND_DONORS,HYDROGEN_BOND_ACCEPTORS,RING_COUNT,ATOM_COUNT,CHIRAL_CENTER_COUNT
DRD3,other,loxapine,0.05,D(3) dopamine receptor,GPCR,7.66,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
SLC6A2,other,loxapine,0.02,Sodium-dependent noradrenaline transporter,Transporter,5.244277555,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
HRH2,other,loxapine,0.05,Histamine H2 receptor,GPCR,6.6819367408752415,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
HRH4,other,loxapine,0.05,Histamine H4 receptor,GPCR,5.2968807220459,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
HTR1E,other,loxapine,0.05,5-hydroxytryptamine receptor 1E,GPCR,5.854182243347171,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
ADRA2A,other,loxapine,0.01,Alpha-2A adrenergic receptor,GPCR,6.82131099700928,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
HTR2A,antagonist,loxapine,0.05,5-hydroxytryptamine receptor 2A,GPCR,8.62,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
CHRM4,other,loxapine,0.02,Muscarinic acetylcholine receptor M4,GPCR,6.087092399597171,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
HTR1A,other,loxapine,0.01,5-hydroxytryptamine receptor 1A,GPCR,5.6097717285156286,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
HTR1D,other,loxapine,0.03,5-hydroxytryptamine receptor 1D,GPCR,5.45992088317871,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
CHRM3,other,loxapine,0.01,Muscarinic acetylcholine receptor M3,GPCR,6.913640022277829,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
ADRA1B,other,loxapine,0.02,Alpha-1B adrenergic receptor,GPCR,7.27572393417358,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
CHRM2,other,loxapine,0.01,Muscarinic acetylcholine receptor M2,GPCR,6.376013278961179,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
HTR3A,other,loxapine,0.03,5-hydroxytryptamine receptor 3A,Ion channel,6.721246242523191,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
HTR5A,other,loxapine,0.1,5-hydroxytryptamine receptor 5A,GPCR,6.1101384162902805,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
HTR1B,other,loxapine,0.02,5-hydroxytryptamine receptor 1B,GPCR,6.41116809844971,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
ADRA1A,other,loxapine,0.01,Alpha-1A adrenergic receptor,GPCR,7.5086383819580105,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
DRD5,other,loxapine,0.05,D(1B) dopamine receptor,GPCR,7.12493896484375,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
ADRA2C,other,loxapine,0.02,Alpha-2C adrenergic receptor,GPCR,7.0971817970275906,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
CHRM1,other,loxapine,0.01,Muscarinic acetylcholine receptor M1,GPCR,5.26,True,327.80800000000005,3.4606024319999995,True,33,0,0,0,28.07,0,0,4,4,41,0.0
HRH1,antagonist,cariprazine,0.09,Histamine H1 receptor,GPCR,7.630000114440921,True,427.41,4.056449686666667,True,6,2,0,0,38.82,5,1,3,3,60,2.0
HTR2A,antagonist,cariprazine,0.09,5-hydroxytryptamine receptor 2A,GPCR,7.73000001907349,True,427.41,4.056449686666667,True,6,2,0,0,38.82,5,1,3,3,60,2.0
HTR1A,other,cariprazine,0.11,5-hydroxytryptamine receptor 1A,GPCR,8.590000152587889,True,427.41,4.056449686666667,True,6,2,0,0,38.82,5,1,3,3,60,2.0
HTR2B,antagonist,cariprazine,0.2,5-hydroxytryptamine receptor 2B,GPCR,9.23999977111816,True,427.41,4.056449686666667,True,6,2,0,0,38.82,5,1,3,3,60,2.0
ADRA2C,agonist,dexmedetomidine,0.07,Alpha-2C adrenergic receptor,GPCR,9.3,True,200.2795,3.390314838666667,True,1,4,0,0,28.68,2,1,1,2,31,1.0
ADRA2B,agonist,dexmedetomidine,0.08,Alpha-2B adrenergic receptor,GPCR,9.7,True,200.2795,3.390314838666667,True,1,4,0,0,28.68,2,1,1,2,31,1.0
CYSLTR1,antagonist,cinalukast,8.28,Cysteinyl leukotriene receptor 1,GPCR,7.192569376253709,False,412.545,5.482244516178102,False,1,0,0,0,79.29,9,2,4,3,57,0.0
CACNA1C,inhibitor,diltiazem,0.24,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,7.3188,True,414.51800000000003,2.7272518843333327,True,2,6,2,1,59.08,6,0,6,3,55,2.0
CACNA1S,inhibitor,diltiazem,0.12,Voltage-dependent L-type calcium channel subunit alpha-1S,Ion channel,6.42,True,414.51800000000003,2.7272518843333327,True,2,6,2,1,59.08,6,0,6,3,55,2.0
KCNA5,inhibitor,flecainide,0.27,Potassium voltage-gated channel subfamily A member 5,Ion channel,4.0,True,414.3427,3.188141905333333,True,4,3,2,2,59.59,7,2,4,2,48,1.0
SCN4A,inhibitor,flecainide,0.17,Sodium channel protein type 4 subunit alpha,Ion channel,4.7447,True,414.3427,3.188141905333333,True,4,3,2,2,59.59,7,2,4,2,48,1.0
KCNA7,inhibitor,flecainide,0.71,Potassium voltage-gated channel subfamily A member 7,Ion channel,5.1,True,414.3427,3.188141905333333,True,4,3,2,2,59.59,7,2,4,2,48,1.0
KCNH2,inhibitor,flecainide,0.03,Potassium voltage-gated channel subfamily H member 2,Ion channel,5.41,True,414.3427,3.188141905333333,True,4,3,2,2,59.59,7,2,4,2,48,1.0
NR3C2,antagonist,nimodipine,0.37,Mineralocorticoid receptor,Receptor,6.8,True,418.4403,2.541901752666668,True,10,1,0,0,117.0,8,1,8,2,56,1.0
CACNA1S,inhibitor,nimodipine,0.61,Voltage-dependent L-type calcium channel subunit alpha-1S,Ion channel,6.0,True,418.4403,2.541901752666668,True,10,1,0,0,117.0,8,1,8,2,56,1.0
CACNA1F,inhibitor,nimodipine,0.68,Voltage-dependent L-type calcium channel subunit alpha-1F,Ion channel,6.0,True,418.4403,2.541901752666668,True,10,1,0,0,117.0,8,1,8,2,56,1.0
CACNA1D,inhibitor,nimodipine,0.64,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,7.192569376253709,True,418.4403,2.541901752666668,True,10,1,0,0,117.0,8,1,8,2,56,1.0
HRH1,antagonist,ketotifen,0.93,Histamine H1 receptor,GPCR,9.5086,True,309.425,3.3478693229999994,True,2,0,0,0,20.31,0,0,3,4,41,0.0
GABRA3,other,flumazenil,0.17,Gamma-aminobutyric acid receptor subunit alpha-3,Ion channel,8.090000152587889,True,303.2884,0.3279000000000002,True,4,0,0,0,64.43,2,0,5,3,36,0.0
GABRA1,antagonist,flumazenil,0.19,Gamma-aminobutyric acid receptor subunit alpha-1,Ion channel,8.699999809265138,True,303.2884,0.3279000000000002,True,4,0,0,0,64.43,2,0,5,3,36,0.0
HTR2B,antagonist,methysergide,0.12,5-hydroxytryptamine receptor 2B,GPCR,9.34000015258789,True,353.458,1.816894446333333,True,8,1,0,0,57.5,4,2,4,4,53,3.0
HTR2A,antagonist,methysergide,0.16,5-hydroxytryptamine receptor 2A,GPCR,9.44999980926514,True,353.458,1.816894446333333,True,8,1,0,0,57.5,4,2,4,4,53,3.0
HTR1E,other,methysergide,0.29,5-hydroxytryptamine receptor 1E,GPCR,6.8,True,353.458,1.816894446333333,True,8,1,0,0,57.5,4,2,4,4,53,3.0
HTR1D,antagonist,methysergide,0.05,5-hydroxytryptamine receptor 1D,GPCR,8.9,True,353.458,1.816894446333333,True,8,1,0,0,57.5,4,2,4,4,53,3.0
HTR5A,antagonist,methysergide,0.2,5-hydroxytryptamine receptor 5A,GPCR,7.0,True,353.458,1.816894446333333,True,8,1,0,0,57.5,4,2,4,4,53,3.0
HTR6,antagonist,methysergide,0.07,5-hydroxytryptamine receptor 6,GPCR,6.8,True,353.458,1.816894446333333,True,8,1,0,0,57.5,4,2,4,4,53,3.0
HTR1B,antagonist,methysergide,0.13,5-hydroxytryptamine receptor 1B,GPCR,7.6,True,353.458,1.816894446333333,True,8,1,0,0,57.5,4,2,4,4,53,3.0
HTR1F,antagonist,methysergide,0.33,5-hydroxytryptamine receptor 1F,GPCR,8.2,True,353.458,1.816894446333333,True,8,1,0,0,57.5,4,2,4,4,53,3.0
KIT,inhibitor,midostaurin,0.29,Mast/stem cell growth factor receptor Kit,Kinase,8.11,True,570.649,5.433789877666666,False,6,12,0,0,77.73,3,1,6,9,73,4.0
PRKCD,inhibitor,midostaurin,0.06,Protein kinase C delta type,Kinase,6.5,True,570.649,5.433789877666666,False,6,12,0,0,77.73,3,1,6,9,73,4.0
KDR,inhibitor,midostaurin,0.06,Vascular endothelial growth factor receptor 2,Kinase,6.6,True,570.649,5.433789877666666,False,6,12,0,0,77.73,3,1,6,9,73,4.0
PRKCA,inhibitor,midostaurin,0.3,Protein kinase C alpha type,Kinase,6.14,True,570.649,5.433789877666666,False,6,12,0,0,77.73,3,1,6,9,73,4.0
PRKCE,inhibitor,midostaurin,0.14,Protein kinase C epsilon type,Kinase,6.27,True,570.649,5.433789877666666,False,6,12,0,0,77.73,3,1,6,9,73,4.0
PDGFRA,other,midostaurin,0.13,Platelet-derived growth factor receptor alpha,Kinase,6.75,True,570.649,5.433789877666666,False,6,12,0,0,77.73,3,1,6,9,73,4.0
PDGFRB,inhibitor,midostaurin,0.08,Platelet-derived growth factor receptor beta,Kinase,6.96,True,570.649,5.433789877666666,False,6,12,0,0,77.73,3,1,6,9,73,4.0
PRKCQ,inhibitor,midostaurin,0.11,Protein kinase C theta type,Kinase,6.04,True,570.649,5.433789877666666,False,6,12,0,0,77.73,3,1,6,9,73,4.0
PRKCH,inhibitor,midostaurin,0.22,Protein kinase C eta type,Kinase,6.54,True,570.649,5.433789877666666,False,6,12,0,0,77.73,3,1,6,9,73,4.0
PRKD3,inhibitor,midostaurin,0.06,Serine/threonine-protein kinase D3,Kinase,5.5,True,570.649,5.433789877666666,False,6,12,0,0,77.73,3,1,6,9,73,4.0
AR,agonist,testosterone propionate,1.0172222222222222,Androgen receptor,Receptor,9.6,True,344.4877,4.507084555000001,True,1,4,2,1,43.37,2,0,3,4,57,6.0
ACE,inhibitor,spirapril,8.0,Angiotensin-converting enzyme,Enzyme,9.1,True,466.61400000000003,1.6036345915656902,True,1,0,0,2,95.94,9,2,7,3,61,3.0
CACNA1G,inhibitor,trimethadione,5.07,Voltage-dependent T-type calcium channel subunit alpha-1G,Ion channel,7.192569376253709,True,143.1406,0.5041463303333331,True,1,5,0,0,46.61,0,0,3,1,19,0.0
CFTR,other,ivacaftor,7.57,Cystic fibrosis transmembrane conductance regulator,Ion channel,8.52,True,392.4907,5.758022158000001,False,1,2,2,1,82.45,2,3,4,3,57,0.0
HTR1A,other,yohimbine,0.08,5-hydroxytryptamine receptor 1A,GPCR,7.3,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
HTR7,antagonist,yohimbine,0.05,5-hydroxytryptamine receptor 7,GPCR,5.6,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
HTR2B,antagonist,yohimbine,0.15,5-hydroxytryptamine receptor 2B,GPCR,7.9,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
HTR1D,antagonist,yohimbine,0.13,5-hydroxytryptamine receptor 1D,GPCR,7.7,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
ADRA2C,antagonist,yohimbine,0.31,Alpha-2C adrenergic receptor,GPCR,9.3,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
HTR5A,antagonist,yohimbine,0.18,5-hydroxytryptamine receptor 5A,GPCR,5.3,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
ADRA2B,antagonist,yohimbine,0.36,Alpha-2B adrenergic receptor,GPCR,8.7,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
HTR1F,antagonist,yohimbine,0.1,5-hydroxytryptamine receptor 1F,GPCR,7.0,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
DRD3,antagonist,yohimbine,0.06,D(3) dopamine receptor,GPCR,5.603975103,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
HTR1B,antagonist,yohimbine,0.16,5-hydroxytryptamine receptor 1B,GPCR,7.6,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
HTR1E,antagonist,yohimbine,0.09,5-hydroxytryptamine receptor 1E,GPCR,5.9,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
DRD2,antagonist,yohimbine,0.03,D(2) dopamine receptor,GPCR,6.163043263,True,354.4427,2.09865826,True,12,2,0,0,65.56,1,2,4,5,52,5.0
SLC6A4,inhibitor,levomilnacipran,0.64,Sodium-dependent serotonin transporter,Transporter,7.95078182220459,True,246.34799999999998,1.4217066229999988,True,2,5,0,1,46.33,5,1,2,2,40,2.0
SLC6A3,inhibitor,levomilnacipran,0.23,Sodium-dependent dopamine transporter,Transporter,5.49,True,246.34799999999998,1.4217066229999988,True,2,5,0,1,46.33,5,1,2,2,40,2.0
SLC6A2,inhibitor,levomilnacipran,0.73,Sodium-dependent noradrenaline transporter,Transporter,7.035269260406492,True,246.34799999999998,1.4217066229999988,True,2,5,0,1,46.33,5,1,2,2,40,2.0
DRD4,agonist,dopamine,0.07,D(4) dopamine receptor,GPCR,9.0,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0.0
DRD5,agonist,dopamine,0.14,D(1B) dopamine receptor,GPCR,9.0,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0.0
DRD1,agonist,dopamine,0.09,D(1A) dopamine receptor,GPCR,8.15,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0.0
SLC6A3,other,dopamine,0.04,Sodium-dependent dopamine transporter,Transporter,5.19,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0.0
DRD3,agonist,dopamine,0.05,D(3) dopamine receptor,GPCR,9.0,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0.0
DBH,other,dopamine,1.33,Dopamine beta-hydroxylase,Enzyme,3.0,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0.0
HTR1A,other,dopamine,0.04,5-hydroxytryptamine receptor 1A,GPCR,5.08365154266357,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0.0
SLC6A2,inhibitor,dopamine,0.05,Sodium-dependent noradrenaline transporter,Transporter,8.18,True,153.1784,0.029550238796553663,True,16,4,0,5,66.48,2,3,3,1,22,0.0
HTR6,agonist,ergotamine,0.07,5-hydroxytryptamine receptor 6,GPCR,8.6,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
HTR2B,agonist,ergotamine,0.12,5-hydroxytryptamine receptor 2B,GPCR,8.9,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
HTR1B,agonist,ergotamine,0.3,5-hydroxytryptamine receptor 1B,GPCR,8.68,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
ADRA2A,other,ergotamine,0.1,Alpha-2A adrenergic receptor,GPCR,9.099086932,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
HTR2C,agonist,ergotamine,0.08,5-hydroxytryptamine receptor 2C,GPCR,8.7,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
HTR1E,agonist,ergotamine,0.1,5-hydroxytryptamine receptor 1E,GPCR,6.3,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
HTR5A,antagonist,ergotamine,0.2,5-hydroxytryptamine receptor 5A,GPCR,7.85,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
DRD1,agonist,ergotamine,0.04,D(1A) dopamine receptor,GPCR,6.063486257999999,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
HTR1F,agonist,ergotamine,0.33,5-hydroxytryptamine receptor 1F,GPCR,6.8,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
HTR2A,agonist,ergotamine,0.09,5-hydroxytryptamine receptor 2A,GPCR,9.0,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
ADRA1D,other,ergotamine,0.09,Alpha-1D adrenergic receptor,GPCR,8.486782400000001,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
DRD2,agonist,ergotamine,0.05,D(2) dopamine receptor,GPCR,8.844663963,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
ADRA1A,other,ergotamine,0.08,Alpha-1A adrenergic receptor,GPCR,7.192569376253709,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
HTR1A,agonist,ergotamine,0.04,5-hydroxytryptamine receptor 1A,GPCR,9.353596274,True,581.6615,2.597697310346601,False,14,1,0,1,118.21,4,3,6,8,78,6.0
TLR7,agonist,imiquimod,10.0,Toll-like receptor 7,Receptor,4.97,True,240.3036,2.650669472,True,2,1,0,0,56.73,2,1,4,3,34,0.0
PTGS1,inhibitor,nepafenac,1.29,Prostaglandin G/H synthase 1,Enzyme,6.6,True,254.2839,2.0844785749999994,True,2,0,0,0,86.18,4,2,3,2,33,0.0
CRBN,inhibitor,pomalidomide,10.0,Protein cereblon,Other,6.57708215713501,True,273.2441,-0.16321859799999985,True,3,2,0,1,109.57,1,2,5,3,31,1.0
OPRD1,antagonist,methylnaltrexone,0.23,Delta-type opioid receptor,GPCR,6.05,True,356.441,-2.492788006471746,True,2,0,0,0,66.76,2,2,4,6,52,5.0
OPRM1,antagonist,methylnaltrexone,0.52,Mu-type opioid receptor,GPCR,7.55,True,356.441,-2.492788006471746,True,2,0,0,0,66.76,2,2,4,6,52,5.0
OPRK1,antagonist,methylnaltrexone,0.51,Kappa-type opioid receptor,GPCR,6.65,True,356.441,-2.492788006471746,True,2,0,0,0,66.76,2,2,4,6,52,5.0
CDK8,inhibitor,ponatinib,0.09,Cyclin-dependent kinase 8,Kinase,8.17,True,532.5595,4.965714124000001,False,15,4,0,2,65.77,4,1,6,5,66,0.0
KDR,inhibitor,ponatinib,0.04,Vascular endothelial growth factor receptor 2,Kinase,8.82390880584717,True,532.5595,4.965714124000001,False,15,4,0,2,65.77,4,1,6,5,66,0.0
LYN,inhibitor,ponatinib,0.08,Tyrosine-protein kinase Lyn,Kinase,9.61978912353516,True,532.5595,4.965714124000001,False,15,4,0,2,65.77,4,1,6,5,66,0.0
PDGFRA,inhibitor,ponatinib,0.22,Platelet-derived growth factor receptor alpha,Kinase,8.95860767364502,True,532.5595,4.965714124000001,False,15,4,0,2,65.77,4,1,6,5,66,0.0
CDK19,inhibitor,ponatinib,0.17,Cyclin-dependent kinase 19,Kinase,7.92,True,532.5595,4.965714124000001,False,15,4,0,2,65.77,4,1,6,5,66,0.0
DRD2,antagonist,iloperidone,0.12,D(2) dopamine receptor,GPCR,8.9687,True,426.4806,3.2213526253333318,True,11,5,0,0,64.8,8,0,6,4,58,0.0
HTR1A,antagonist,iloperidone,0.09,5-hydroxytryptamine receptor 1A,GPCR,7.1809,True,426.4806,3.2213526253333318,True,11,5,0,0,64.8,8,0,6,4,58,0.0
HRH1,antagonist,iloperidone,0.06,Histamine H1 receptor,GPCR,7.91,True,426.4806,3.2213526253333318,True,11,5,0,0,64.8,8,0,6,4,58,0.0
HTR6,antagonist,iloperidone,0.28,5-hydroxytryptamine receptor 6,GPCR,7.37,True,426.4806,3.2213526253333318,True,11,5,0,0,64.8,8,0,6,4,58,0.0
ADRA2C,antagonist,iloperidone,0.07,Alpha-2C adrenergic receptor,GPCR,7.7902,True,426.4806,3.2213526253333318,True,11,5,0,0,64.8,8,0,6,4,58,0.0
HTR2A,antagonist,iloperidone,0.11,5-hydroxytryptamine receptor 2A,GPCR,9.8594,True,426.4806,3.2213526253333318,True,11,5,0,0,64.8,8,0,6,4,58,0.0
DRD3,antagonist,iloperidone,0.11,D(3) dopamine receptor,GPCR,8.15,True,426.4806,3.2213526253333318,True,11,5,0,0,64.8,8,0,6,4,58,0.0
DRD4,antagonist,iloperidone,0.1,D(4) dopamine receptor,GPCR,7.6,True,426.4806,3.2213526253333318,True,11,5,0,0,64.8,8,0,6,4,58,0.0
ADRA1A,antagonist,iloperidone,0.06,Alpha-1A adrenergic receptor,GPCR,7.44,True,426.4806,3.2213526253333318,True,11,5,0,0,64.8,8,0,6,4,58,0.0
RAF1,inhibitor,vemurafenib,0.07,RAF proto-oncogene serine/threonine-protein kinase,Kinase,7.32,True,489.92199999999997,4.622483135000001,True,1,6,2,3,91.92,7,2,4,4,51,0.0
SLC6A3,inhibitor,cocaine,0.29,Dopamine transporter,Other,7.19,True,303.3529,2.2821080089999994,True,8,5,1,2,55.84,3,0,5,3,43,4.0
SIGMAR1,agonist,cocaine,0.5,Sigma non-opioid intracellular receptor 1,Receptor,5.05,True,303.3529,2.2821080089999994,True,8,5,1,2,55.84,3,0,5,3,43,4.0
MAP2K2,other,cobimetinib,0.57,Dual specificity mitogen-activated protein kinase kinase 2,Kinase,6.7,True,531.318,5.035852919333332,False,1,2,0,4,64.6,4,3,4,4,51,1.0
MAP2K1,inhibitor,cobimetinib,0.98,Dual specificity mitogen-activated protein kinase kinase 1,Kinase,9.04575729370117,True,531.318,5.035852919333332,False,1,2,0,4,64.6,4,3,4,4,51,1.0
HDAC2,inhibitor,belinostat,0.46,Histone deacetylase 2,Enzyme,9.07,True,318.35,1.813627203,True,1,5,0,1,95.5,5,3,4,2,36,0.0
HDAC7,inhibitor,belinostat,0.77,Histone deacetylase 7,Enzyme,7.29,True,318.35,1.813627203,True,1,5,0,1,95.5,5,3,4,2,36,0.0
HDAC8,inhibitor,belinostat,0.51,Histone deacetylase 8,Enzyme,7.66,True,318.35,1.813627203,True,1,5,0,1,95.5,5,3,4,2,36,0.0
HDAC9,inhibitor,belinostat,0.72,Histone deacetylase 9,Enzyme,7.62,True,318.35,1.813627203,True,1,5,0,1,95.5,5,3,4,2,36,0.0
HDAC11,inhibitor,belinostat,0.52,Histone deacetylase 11,Enzyme,7.57,True,318.35,1.813627203,True,1,5,0,1,95.5,5,3,4,2,36,0.0
HTR2A,antagonist,epinastine,0.13,5-hydroxytryptamine receptor 2A,GPCR,7.192569376253709,True,249.3104,3.073111085666667,True,6,3,0,1,39.12,0,2,1,4,34,1.0
HRH2,antagonist,epinastine,0.9,Histamine H2 receptor,GPCR,7.192569376253709,True,249.3104,3.073111085666667,True,6,3,0,1,39.12,0,2,1,4,34,1.0
ADORA3,inhibitor,enprofylline,0.45,Adenosine receptor A3,GPCR,4.03,True,194.1906,-0.11366737333333345,True,6,0,0,0,83.54,2,2,4,2,24,0.0
PDE4B,inhibitor,enprofylline,1.47,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Enzyme,7.192569376253709,True,194.1906,-0.11366737333333345,True,6,0,0,0,83.54,2,2,4,2,24,0.0
ADORA2A,inhibitor,enprofylline,0.32,Adenosine A2a receptor,Other,4.04,True,194.1906,-0.11366737333333345,True,6,0,0,0,83.54,2,2,4,2,24,0.0
ADORA1,inhibitor,enprofylline,0.33,Adenosine receptor A1,GPCR,4.38,True,194.1906,-0.11366737333333345,True,6,0,0,0,83.54,2,2,4,2,24,0.0
ADORA2B,antagonist,enprofylline,0.73,Adenosine receptor A2b,GPCR,5.33,True,194.1906,-0.11366737333333345,True,6,0,0,0,83.54,2,2,4,2,24,0.0
HTR1D,agonist,zolmitriptan,1.6,5-hydroxytryptamine receptor 1D,GPCR,8.9,True,287.3568,2.0428752876666683,True,8,2,0,1,57.36,5,2,3,3,42,1.0
HTR1F,agonist,zolmitriptan,2.52,5-hydroxytryptamine receptor 1F,GPCR,7.45,True,287.3568,2.0428752876666683,True,8,2,0,1,57.36,5,2,3,3,42,1.0
HTR1E,agonist,zolmitriptan,0.72,5-hydroxytryptamine receptor 1E,GPCR,7.7,True,287.3568,2.0428752876666683,True,8,2,0,1,57.36,5,2,3,3,42,1.0
HTR1B,agonist,zolmitriptan,1.39,5-hydroxytryptamine receptor 1B,GPCR,7.7,True,287.3568,2.0428752876666683,True,8,2,0,1,57.36,5,2,3,3,42,1.0
S1PR5,other,fingolimod,5.68,Sphingosine 1-phosphate receptor 5,GPCR,9.52,True,307.4708,4.060977925999999,True,5,3,0,4,66.48,10,3,3,1,55,0.0
S1PR4,other,fingolimod,1.62,Sphingosine 1-phosphate receptor 4,GPCR,9.52,True,307.4708,4.060977925999999,True,5,3,0,4,66.48,10,3,3,1,55,0.0
S1PR3,other,fingolimod,2.84,Sphingosine 1-phosphate receptor 3,GPCR,8.52,True,307.4708,4.060977925999999,True,5,3,0,4,66.48,10,3,3,1,55,0.0
HTR2A,antagonist,thioridazine,0.14,5-hydroxytryptamine receptor 2A,GPCR,8.0,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,1.0
KCNH2,inhibitor,thioridazine,0.03,Potassium voltage-gated channel subfamily H member 2,Ion channel,7.0,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,1.0
DRD4,antagonist,thioridazine,0.04,D(4) dopamine receptor,GPCR,7.97881078720093,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,1.0
DRD5,antagonist,thioridazine,0.07,D(1B) dopamine receptor,GPCR,5.6,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,1.0
HRH1,antagonist,thioridazine,0.01,Histamine H1 receptor,GPCR,7.7,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,1.0
HTR6,antagonist,thioridazine,0.05,5-hydroxytryptamine receptor 6,GPCR,7.2,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,1.0
HTR1A,antagonist,thioridazine,0.02,5-hydroxytryptamine receptor 1A,GPCR,7.1,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,1.0
DRD3,antagonist,thioridazine,0.03,D(3) dopamine receptor,GPCR,7.3,True,370.575,5.4693059060000015,False,6,3,0,0,6.48,4,0,4,4,51,1.0
